time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0.001	0.001	0	0	0	lidar	2.122e-314	0	0	0	0	0	0
1477010443349642	0.346452	-0.346218	0	0	0	radar	2.06614	0	0	0	0	0	0
1477010444349642	1.52116	-0.121429	0.609838	1.38778e-17	-2.77556e-17	lidar	1.9064	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.63461	0.0159288	1.96625	-0.0346846	-0.0511136	radar	9.12698	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.86436	-0.131369	2.2702	-0.126009	-0.0758688	lidar	0.95813	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.93943	0.0735259	2.45822	0.0953761	0.0715057	radar	4.20593	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.8238	0.409353	2.92547	0.195655	0.0896211	lidar	1.6773	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.74326	0.438123	2.7204	0.239761	0.144356	radar	1.56717	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.07037	0.598166	2.74471	-0.00926504	-0.107463	lidar	0.206884	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.0358	0.665818	2.70435	0.0350288	-0.0818389	radar	1.166	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5618	1.65483	2.83031	0.645145	0.359986	lidar	0.779335	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5393	1.6151	2.89631	0.581732	0.276805	radar	0.53191	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.6075	2.33425	2.42211	0.333512	-0.0503789	lidar	0.819216	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6275	2.30542	2.59444	0.296455	-0.114143	radar	0.876733	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.601	2.89796	3.08338	0.0341335	-0.211935	lidar	2.03361	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.5379	2.88593	2.98324	0.0217642	-0.229733	radar	0.962135	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.0072	3.69616	2.94016	0.418037	0.167673	lidar	0.462308	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.0767	3.72063	2.82818	0.466942	0.233496	radar	1.42513	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.3199	4.73104	2.90701	0.418583	0.0508911	lidar	0.184227	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.3788	4.74087	2.99732	0.39549	0.0213634	radar	0.817206	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0583	5.5662	3.19826	0.188602	-0.125585	lidar	0.462234	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.1638	5.59969	3.27268	0.181484	-0.130314	radar	3.00755	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
1477010454349642	26.6063	6.95298	3.24649	0.637228	0.242318	lidar	0.3841	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
1477010454349642	26.5937	6.94481	3.32527	0.605161	0.184741	radar	0.0892769	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
1477010455349642	29.5594	8.08012	3.48524	0.255865	-0.163351	lidar	0.890756	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
1477010455349642	29.5442	8.07547	3.301	0.237982	-0.178262	radar	0.230226	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
1477010456349642	31.9435	9.86943	3.28563	0.830635	0.31663	lidar	0.680718	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
1477010456349642	31.8996	9.84472	3.32863	0.789438	0.251397	radar	0.686625	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
1477010457349642	34.6201	10.725	2.73798	0.209448	-0.267856	lidar	1.55696	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
1477010457349642	34.7177	10.7681	3.03759	0.240235	-0.22324	radar	2.55115	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
1477010458349642	37.1369	12.0782	3.04215	0.616553	0.163741	lidar	0.449641	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
1477010458349642	37.2163	12.0981	3.24932	0.586968	0.0816686	radar	1.66574	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
1477010459349642	40.2872	13.4495	3.65961	0.266024	-0.187465	lidar	1.67848	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
1477010459349642	40.2224	13.4258	3.32793	0.221775	-0.23738	radar	1.33367	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459
1477010460349642	42.7665	14.8207	3.30059	0.595514	0.154746	lidar	0.432175	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
1477010460349642	42.7425	14.8126	3.36284	0.577958	0.122337	radar	0.200559	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938
1477010461349642	45.3378	16.5428	3.5845	0.566538	0.0308513	lidar	0.425391	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
1477010461349642	45.3837	16.5593	3.46425	0.585019	0.0892976	radar	0.860699	45.649	16.5213	45.4265	16.3307	2.64546	1.29701
1477010462349642	48.1508	17.2896	3.3595	0.136677	-0.250266	lidar	0.357027	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	48.1263	17.2777	3.13544	0.077354	-0.334156	radar	0.366655	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6227	19.0548	2.90543	0.848832	0.382804	lidar	1.59149	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	50.6023	19.028	3.13123	0.723087	0.160779	radar	0.592503	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.6939	19.8929	3.20882	0.046432	-0.387764	lidar	1.70744	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.6629	19.8769	3.10389	0.0113072	-0.44253	radar	0.292297	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	56.0496	21.0735	2.6631	0.455694	0.138499	lidar	1.63834	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	56.0184	21.0555	2.76928	0.429547	0.105757	radar	0.45112	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	58.645	21.781	2.9507	0.143863	-0.150751	lidar	0.520566	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	58.6467	21.7849	3.01736	0.165009	-0.123211	radar	0.03204	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	60.8757	22.781	2.90513	0.491734	0.165671	lidar	0.274738	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	60.8476	22.7703	2.8705	0.486798	0.165781	radar	0.215336	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	63.37	23.4096	2.93537	0.12388	-0.173871	lidar	0.41293	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	63.4549	23.4375	2.83881	0.0656064	-0.242156	radar	2.06921	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	66.3106	23.9867	3.09145	0.332325	0.0863872	lidar	1.06712	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	66.2213	23.9621	2.60937	0.292037	0.0573041	radar	2.45011	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	68.2623	24.3615	2.60227	0.173953	-0.0547306	lidar	0.0375606	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	68.3491	24.3936	2.67981	0.186695	-0.0410637	radar	1.9984	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
1477010471349642	70.8126	24.8791	2.84835	0.252254	0.025834	lidar	0.27222	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	70.7801	24.8664	2.52812	0.204592	-0.0310061	radar	0.595016	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	72.8912	24.7197	2.55998	-0.181308	-0.25585	lidar	0.144212	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	72.9409	24.7366	2.56363	-0.183418	-0.266838	radar	0.683296	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
1477010473349642	75.0111	25.2415	2.15906	0.290729	0.20597	lidar	1.02372	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	74.9992	25.2368	2.14863	0.285513	0.202439	radar	0.0425246	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626
1477010474349642	77.1115	24.9444	2.25907	-0.36892	-0.342093	lidar	0.862928	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	77.136	24.9512	2.24834	-0.387074	-0.368899	radar	0.183652	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	79.1035	25.0125	1.8764	0.0719222	0.164002	lidar	1.4261	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	79.1148	25.0148	1.89862	0.0799485	0.173853	radar	0.0275596	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
1477010476349642	80.8002	24.8735	2.00842	-0.0346523	-0.00768756	lidar	0.130116	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
1477010476349642	80.8501	24.8801	1.85581	-0.0999504	-0.120182	radar	1.24167	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536
1477010477349642	82.5962	24.6369	2.11867	-0.0859698	-0.0327027	lidar	0.372329	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
1477010477349642	82.5712	24.6252	1.9103	-0.18621	-0.199321	radar	0.427782	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012
1477010478349642	84.162	24.5433	1.93515	-0.000312758	0.0384533	lidar	0.226508	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
1477010478349642	84.1602	24.5448	1.80975	-0.0348183	-0.0323204	radar	0.212805	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444
1477010479349642	85.6373	23.8189	1.90069	-0.558242	-0.332542	lidar	0.281654	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
1477010479349642	85.6942	23.8367	1.9614	-0.517061	-0.289263	radar	0.860649	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006
1477010480349642	86.9656	23.4986	1.37023	-0.322659	-0.00730565	lidar	1.09371	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
1477010480349642	87.0762	23.5337	1.4426	-0.271235	0.0105075	radar	3.61886	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654
1477010481349642	88.7601	22.7963	2.19492	-0.436257	-0.0853341	lidar	1.93941	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
1477010481349642	88.6939	22.7659	2.08111	-0.606532	-0.315886	radar	0.995248	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514
1477010482349642	89.5555	22.2612	1.06447	-0.659452	-0.217538	lidar	2.97032	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
1477010482349642	89.6222	22.2745	1.16916	-0.544095	-0.0376739	radar	0.881542	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904
1477010483349642	90.5018	21.6684	1.29365	-0.525005	0.000679522	lidar	0.0617212	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
1477010483349642	90.5872	21.6935	1.3949	-0.412633	0.116482	radar	1.73434	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241
1477010484349642	91.7062	21.1171	1.54292	-0.322029	0.108958	lidar	0.0652906	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
1477010484349642	91.7508	21.123	1.48442	-0.443881	-0.12828	radar	2.27553	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964
1477010485349642	92.855	20.9411	1.38775	-0.0848533	0.152066	lidar	0.314478	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
1477010485349642	92.9079	20.9689	1.23093	-0.0710941	0.0725902	radar	2.76736	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443
1477010486349642	93.5064	20.2415	0.906811	-0.773647	-0.388966	lidar	1.34326	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
1477010486349642	93.5743	20.2816	1.09158	-0.539067	-0.0934193	radar	1.29759	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919
1477010487349642	95.2258	19.6664	2.22405	-0.129774	0.249863	lidar	4.63514	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
1477010487349642	95.0163	19.6211	1.76279	-0.569485	-0.351105	radar	7.51728	94.494	19.8854	94.8209	20.01	0.893308	-0.497439
1477010488349642	95.5639	19.6467	0.8008	-0.476743	-0.157226	lidar	3.42304	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
1477010488349642	95.586	19.6425	0.953113	-0.425158	-0.0539037	radar	0.255407	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	96.256	19.1632	1.06156	-0.523587	-0.0774113	lidar	0.0374728	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	96.3024	19.1734	1.12065	-0.469694	-0.0305657	radar	0.542007	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	97.4736	18.7301	1.68895	-0.195533	0.165461	lidar	1.3459	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	97.4212	18.7178	1.478	-0.372347	-0.106811	radar	1.01261	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	98.2254	18.3667	1.26859	-0.337841	-0.0379715	lidar	0.157097	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	98.2337	18.3682	1.15877	-0.39846	-0.160108	radar	0.460654	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
1477010492349642	99.022	17.3762	1.47581	-1.05183	-0.434187	lidar	0.482302	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
1477010492349642	99.0322	17.4071	1.44637	-0.716507	-0.0183813	radar	0.671036	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278
1477010493349642	99.9985	16.9592	1.19342	-0.383894	0.176696	lidar	0.639149	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
1477010493349642	100.062	16.9743	1.19172	-0.372474	0.12061	radar	1.84217	100.441	16.9521	100.117	17.0001	0.944242	-0.512134
1477010494349642	101.172	16.539	1.5412	-0.225341	0.146613	lidar	0.457117	101.204	16.5368	101.065	16.497	0.991362	-0.513687
1477010494349642	101.142	16.5284	1.36427	-0.334627	-0.0224364	radar	0.471308	101.169	16.4353	101.065	16.497	0.991362	-0.513687
1477010495349642	102.357	16.3937	1.60891	0.0886716	0.238013	lidar	0.553938	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
1477010495349642	102.264	16.3876	1.27869	0.0947099	0.215389	radar	1.79649	102.081	15.8359	102.063	15.9949	1.04911	-0.512803
1477010496349642	103.029	15.3979	0.99946	-1.08866	-0.598733	lidar	2.52585	103.003	15.353	103.119	15.4967	1.11708	-0.508169
1477010496349642	102.976	15.4582	1.15495	-0.576612	0.0391394	radar	2.73831	102.776	15.1195	103.119	15.4967	1.11708	-0.508169
